August,31,2020,,,
Santa Barbara County Totals,46,8143,7822,328,93
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,178,168,4,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6,1092,1054,27,11
CITY OF GOLETA,1,212,204,4,4
COMMUNITY OF ISLA VISTA,3,146,139,6,1
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,171,145,25,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,118,108,8,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,11,653,617,28,8
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,18,3564,3429,85,50
COMMUNITY OF ORCUTT,2,268,257,8,3
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,349,331,114,4
Out of County,—,—,0,0,0
Pending,1,373,354,19,—
August,30,2020,,,
Santa Barbara County Totals,42,8098,7777,229,92
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,177,167,4,6
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,9,1087,1048,28,11
CITY OF GOLETA,0,211,201,6,4
COMMUNITY OF ISLA VISTA,1,143,138,4,1
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,6,170,142,27,1
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,117,106,9,2
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,4,642,614,20,8
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3
CITY OF SANTA MARIA,11,3547,3411,87,49
COMMUNITY OF ORCUTT,3,266,255,8,3
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,347,330,13,4
Out of County,-,-,-,-,-
Pending,4,372,349,23,0
August,29,2020,,,
Santa Barbara County Totals,42,8056,7723,241,92
