,Date,Area,Daily Cases,Cumulative Cases,Recovered,Active,Deaths
794,2020-03-13,Santa Barbara County Totals,0,0,0,0,0
793,2020-03-14,Santa Barbara County Totals,0,0,0,0,0
792,2020-03-15,Santa Barbara County Totals,0,1,0,1,0
791,2020-03-16,Santa Barbara County Totals,0,1,0,1,0
790,2020-03-17,Santa Barbara County Totals,0,2,0,2,0
789,2020-03-18,Santa Barbara County Totals,0,3,0,3,0
788,2020-03-19,Santa Barbara County Totals,0,9,0,9,0
787,2020-03-20,Santa Barbara County Totals,0,9,0,9,0
786,2020-03-21,Santa Barbara County Totals,0,13,0,13,0
785,2020-03-22,Santa Barbara County Totals,0,18,0,18,0
784,2020-03-23,Santa Barbara County Totals,0,18,0,18,0
783,2020-03-24,Santa Barbara County Totals,0,24,0,24,0
782,2020-03-25,Santa Barbara County Totals,0,26,0,26,0
781,2020-03-26,Santa Barbara County Totals,0,32,0,32,0
780,2020-03-27,Santa Barbara County Totals,0,47,0,47,0
779,2020-03-28,Santa Barbara County Totals,0,64,0,64,0
778,2020-03-29,Santa Barbara County Totals,0,68,0,68,0
777,2020-03-30,Santa Barbara County Totals,0,88,0,88,0
776,2020-03-31,Santa Barbara County Totals,0,99,0,99,0
775,2020-04-01,Santa Barbara County Totals,0,111,0,111,0
774,2020-04-02,Santa Barbara County Totals,0,139,0,139,0
773,2020-04-03,Santa Barbara County Totals,0,152,0,152,0
772,2020-04-04,Santa Barbara County Totals,0,168,0,167,1
771,2020-04-05,Santa Barbara County Totals,0,174,0,172,2
770,2020-04-06,Santa Barbara County Totals,0,192,0,190,2
769,2020-04-07,Santa Barbara County Totals,0,218,0,216,2
768,2020-04-08,Santa Barbara County Totals,0,228,0,226,2
767,2020-04-09,Santa Barbara County Totals,0,243,0,241,2
766,2020-04-10,Santa Barbara County Totals,0,260,0,258,2
765,2020-04-11,Santa Barbara County Totals,0,264,0,262,2
764,2020-04-12,Santa Barbara County Totals,0,267,0,265,2
763,2020-04-13,Santa Barbara County Totals,0,284,0,282,2
762,2020-04-14,Santa Barbara County Totals,0,313,0,311,2
761,2020-04-15,Santa Barbara County Totals,0,334,0,332,2
760,2020-04-16,Santa Barbara County Totals,0,354,0,351,3
759,2020-04-17,Santa Barbara County Totals,0,373,0,370,3
758,2020-04-18,Santa Barbara County Totals,0,385,0,381,4
757,2020-04-19,Santa Barbara County Totals,0,394,0,390,4
756,2020-04-20,Santa Barbara County Totals,0,416,0,412,4
755,2020-04-21,Santa Barbara County Totals,0,429,0,424,5
